Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
262;146;İzdemir Enerji Elektrik Üretim A.Ş.;2023;5.632.737.983;252;6.156.527.498;278;267;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;75,98;-;24,02;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.izdemirenerji.com.tr;İzmir;Konak;Şair Eşref Bulvarı No.23/5 Çankaya;(232) 4414383;-;muhasebe@izdemirenerji.com.tr;35210
263;275;Akdeniz Chemson Kimya San. ve Tic. A.Ş.;2023;5.603.840.180;253;8.281.268.129;201;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.akdenizchemson.com;İzmir;Kemalpaşa;Kemalpaşa OSB. Mah. İzmir Kemalpaşa Asfaltı Cad. No.45;(232) 8770144;-;info@akdenizchemson.com;35735
264;307;Başak Traktör Tarım Ziraat ve İş Makinaları San. Tic. A.Ş.;2023;5.593.924.208;254;6.971.518.765;243;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.basaktraktor.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mah. 4. Bölge 83426 Nolu Cad. No.1;(342) 2115900;-;muhasebe@mst-tr.com;27110
265;260;Kent Gıda Maddeleri San. ve Tic. A.Ş.;2023;5.572.850.390;255;8.987.702.910;183;173;1.938.877.787;190;181;4.535.853.541;204;193;7.852.228.826;240;230;965.132.971;156;149;1.032.028.719;249;242;159.901;135;132;1.289;186;175;Kocaeli Sanayi Odası;-;-;99,46;0,54;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kentgida.net;Kocaeli;Gebze;Cumhuriyet Mah. 2253 Sok. No.11 ;(216) 5476300;(530) 7669475;mondelezturkey@mdlz.com;-
266;236;Saray Döküm ve Madeni Aksam Sanayi Turizm A.Ş.;2023;5.566.736.846;256;5.839.646.689;295;284;-;-;-;9.863.213.940;99;93;10.381.833.567;175;167;-;-;-;-;-;-;112.284;192;189;664;322;309;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.saray.com;İstanbul;Bağcılar;Bağlar Mah. Osmanpaşa Cad. No.89 Güneşli;(212) 5504947;(212) 6517925;saray@saray.com;34540
267;353;Bupiliç Entegre Gıda San. Tic. A.Ş.;2023;5.556.221.420;257;5.829.777.150;296;285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30.978;351;346;998;240;228;Balıkesir Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.bupilic.com.tr;Balıkesir;Bandırma;Doğruca Mh. Doğruca 25.Sk. Ofis No:9/5;(266) 7338725;-;info@bupilic.com.tr;10200
268;349;Net Haddecilik San. ve Tic. Ltd. Şti.;2023;5.525.888.015;258;5.969.905.979;286;275;-;-;-;-;-;-;2.903.999.357;435;422;-;-;-;-;-;-;26.199;363;357;197;474;461;Dörtyol Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.nethaddecilik.com.tr;Hatay;Payas;Karşı OSB Mah. Şehit Mustafa Avcı Cad. No.10;(326) 7559901;(546) 9459189;nethaddecilik@ttmail.com;31900
269;359;Lidersan Sağlık ve Gıda Ürünleri A.Ş.;2023;5.501.964.008;259;6.125.295.798;281;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Giyim eşyalarının imalatı;14;Giyim Eşya Sanayi;322;www.lidersan.net;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83409 Nolu Cad. No.8;(342) 3570357;(342) 3570358;info@altunkaya.com;27630
270;177;Korteks Mensucat San. ve Tic. A.Ş.;2023;5.501.071.134;260;5.514.897.488;304;293;-480.293.085;492;479;20.076.614.699;49;45;38.461.516.261;46;41;772.485.044;181;174;840.832.295;300;291;39.124;327;322;2.086;107;97;İstanbul Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.korteks.com.tr;Bursa;Nilüfer;Fethiye OSB Mah. Sarı Cad. No.3;(224) 2191100;(532) 7554044;korteks.iplik@zorlu.com;16215
271;355;Bayer Türk Kimya Sanayii Ltd. Şti.;2023;5.490.575.020;261;10.364.331.852;157;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;-;100,00;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.bayer.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. No.53 ;(216) 5283846;(216) 5283600;info.turkey@bayer.com;34770
272;316;ENPAY Endüstriyel Pazarlama ve Yatırım A.Ş.;2023;5.471.255.479;262;5.920.051.414;291;280;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125.209;173;170;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.enpay.com;Kocaeli;Başiskele;Karadenizliler Mah. Fakülte Cad. No.147/A;(262) 3495820;(262) 3493710;info@enpay.com;41140
273;258;Nev Saç Metal Sanayi İnşaat Nakliye ve Tic. Ltd. Şti.;2023;5.468.895.914;263;5.521.779.196;303;292;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Nevşehir Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.nevsac.com;Nevşehir;Merkez;Özel Organize Sanayi Bölgesi Aksaray Yolu 10. km ;(384) 2429180;-;muhasebe@nevsac.com;50000
274;333;Bellona Mobilya San. ve Tic. A.Ş.;2023;5.467.575.736;11;8.623.467.040;197;11;1.933.549.712;192;10;4.359.666.962;209;13;6.774.293.619;270;12;352.496.130;279;10;935.817.850;266;8;27.292;359;6;2.516;87;10;Kamu;100,00;-;-;-;Mobilya imalatı;31;Ağaç, Mobilya ve Mefruşat Sanayi;332;www.bellona.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 16 Cad. No:2/B;(352) 3211670;-;muhasebe@bellona.com.tr;38070
275;274;Yayla Agro Gıda San. ve Tic. A.Ş.;2023;5.447.755.953;264;12.957.507.690;123;114;1.655.073.425;225;214;-;-;-;-;-;-;1.115.623.583;137;131;-;-;-;84.021;238;235;613;337;324;Ankara Sanayi Odası;-;68,98;-;31,02;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.yaylaagro.com;Ankara;Kahramankazan;Saray Mah. Fatih Sultan Mehmet Bulvarı No.327;(312) 8154950;-;yayla@yaylaagro.com;06980
276;363;Emas Makina Sanayi A.Ş.;2023;5.433.442.410;265;7.672.453.518;213;202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Manisa Ticaret ve Sanayi Odası;-;100,00;-;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.emas.com.tr;Manisa;Yunusemre;Mustafa Kemal Bulvarı Organize Sanayi Bölgesi 3.Kısım No.13;(236) 2130021;(505) 8252498;emas@emas.com.tr;45030
277;335;Doğanlar Mobilya Grubu İmalat San. ve Tic. A.Ş.;2023;5.388.726.543;266;6.838.094.550;250;239;1.361.058.562;264;252;2.919.661.926;289;276;7.253.868.051;253;242;494.868.072;241;232;906.985.699;278;270;23.408;373;367;2.730;81;72;İstanbul Sanayi Odası;-;49,88;-;50,12;Mobilya imalatı;31;Ağaç, Mobilya ve Mefruşat Sanayi;332;www.doganlarmobilyagrubu.com;İstanbul;Maltepe;İdealtepe Mah. Rıfkı Tongsir Cad. No.107;(549) 7969960;-;muhasebeteam@dogtaskelebek.com;34841
278;459;Ofi Tarım San. ve Tic. A.Ş.;2023;5.388.721.903;267;5.388.721.903;307;296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160.888;133;130;-;-;-;İstanbul Sanayi Odası;-;-;100,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.ofi.com;İstanbul;Sarıyer;Eski Büyükdere Cad. İz Plaza Giz No.9/4 Maslak;(212) 2820008;-;turkey.office@ofi.com;34398
279;253;Ege Profil Tic. ve San. A.Ş.;2023;5.386.432.758;268;6.893.691.099;246;235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;-;87,91;12,09;Kauçuk ve plastik ürünlerin imalatı;22;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356;www.egeprofil.com.tr;İzmir;Menemen;Atatürk Plastik OSB Mah. 5. Cad. No.4;(232) 3989898;(232) 3989898;egeprofil@deceuninck.com;35660
280;206;Teknik Alüminyum Sanayi A.Ş.;2023;5.383.118.181;269;5.419.374.984;306;295;618.141.556;423;410;180.670.547;491;478;3.482.730.398;411;398;-558.413.242;455;443;421.688.155;414;403;167.884;124;121;319;434;421;İstanbul Sanayi Odası;-;-;100,00;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.teknikaluminyum.com.tr;Tekirdağ;Ergene;Velimeşe OSB Mah. 6. Yanyol Cad. Teknik Alüminyum Blok  No.40/1;(282) 6745151;-;info@teknikaluminyum.com.tr;59930
281;367;Yörükoğlu Süt ve Ürünleri San. Tic. A.Ş.;2023;5.348.488.466;270;6.761.553.761;256;245;929.576.204;358;346;1.353.641.593;407;394;2.910.745.814;433;420;401.456.607;267;258;605.085.110;373;362;5.739;428;421;993;242;229;Antalya Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.yorukoglusut.com.tr;Antalya;Döşemealtı;Organize Sanayi Bölgesi 2. Cad. No.6;(242) 2581135;(242) 3404900;info@yorukoglusut.com.tr;07190
282;-;Smart Güneş Enerjisi Teknolojileri Ar-Ge Üretim San. ve Tic. A.Ş.;2023;5.301.161.461;271;6.819.679.727;252;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;73,03;-;26,97;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.smartsolar.com.tr;İstanbul;Beykoz;Rüzgarlıbahçe Feragat Sok. No.2 ;(262) 6737100;(216) 2257200;info@smartsolar.com.tr;34805
283;278;Hastavuk Gıda Tarım Hayvancılık San. ve Tic. A.Ş.;2023;5.277.045.764;272;6.320.271.192;272;261;1.320.657.754;274;262;1.599.925.257;389;376;2.692.069.243;444;431;670.276.504;199;192;975.379.038;259;252;47.748;309;304;1.764;125;115;Bursa Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.hastavuk.com.tr;Bursa;Nilüfer;Balkan Mah. Hasanağa Cad. No.8/1 ;(224) 4702700;(224) 4702701;muhasebe@hastavuk.com;16149
284;238;Savola Gıda San. ve Tic. A.Ş.;2023;5.271.740.653;273;5.372.052.530;308;297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36.313;333;328;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.yudum.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. No.2/123 Kat 36 Palladium Tower;(216) 5786800;(266) 3121295;savolainfo@savola.com;34746
285;213;Çayırova Boru San. ve Tic. A.Ş.;2023;5.246.610.062;274;6.773.803.573;254;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.cayirovaboru.com;İstanbul;Kadıköy;Rıhtım Cad. No.44;(262) 7234400;(262) 6536131;muhasebe@cayirovaboru.com.tr;34710
286;267;Kronospan Orman Ürünleri San. ve Tic. A.Ş.;2023;5.231.243.405;275;5.742.164.424;300;289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16;Ağaç ve Mantar Ürünleri Sanayi;331;www.kronospan.com.tr;İstanbul;Ümraniye;Esenşehir Mah. Çetinkaya Sok. No:2 ;(216) 5214170;(216) 5214171;info@kronospan.com.tr;34996
287;-;Tarım Kredi Süt Ürünleri A.Ş.;2023;5.225.969.746;276;5.294.660.686;314;303;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tksut.com.tr;Denizli;Acıpayam;Akalan Mah. Aligöz Sok. No.4 İç Kapı No.1 ;(258) 5391080;-;muhasebe@tksut.com.tr;20800
288;305;Aydın Kuruyemiş San. ve Tic. A.Ş.;2023;5.210.955.712;277;6.190.560.730;276;265;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.aydinkuruyemis.com.tr;İstanbul;Sultangazi;Cebeci Mah. Atatürk Bulvarı 2488 Sok. No.36;(212) 5943356;(212) 5940078;info@aydinkuruyemis.com.tr;34270
289;474;ISS Hazır Yemek Üretim ve Hizmet A.Ş.;2023;5.197.384.156;278;5.200.489.441;318;307;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.669;11;11;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tr.issworld.com;İstanbul;Kağıthane;Çağlayan Mah. Karaağaç Sok. No.2;(212) 3547400;-;info@tr.issworld.com;34410
290;255;Eksun Gıda Tarım San. ve Tic. A.Ş.;2023;5.194.963.462;279;6.197.281.115;274;263;855.706.959;380;367;1.922.344.793;368;355;3.452.552.541;412;399;508.904.452;240;231;642.443.290;359;348;53.991;293;288;476;380;367;Tekirdağ Ticaret ve Sanayi Odası;-;71,37;-;28,63;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.eksun.com.tr;İstanbul;Üsküdar;Fahrettin Kerim Gökay Cad. No.36 Altunizade;(216) 5132400;(282) 3616204;info@eksun.com.tr;-
291;-;-;2023;-;280;-;302;291;-;148;140;-;272;259;-;333;320;-;111;105;-;173;168;-;403;397;-;166;155;İstanbul Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;-;-;-;-;-;-;-;-
292;-;Çelikler Orhaneli Tunçbilek Elektrik Üretim A.Ş.;2023;5.141.662.011;281;5.153.726.298;321;310;1.451.263.370;252;241;21.045.911.832;45;41;31.614.815.372;58;53;13.236.282;398;386;1.229.949.435;218;212;-;-;-;1.338;174;163;Bursa Ticaret ve Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.celiklerholding.com.tr;Ankara;Çankaya;Nenehatun Cad. No:104 G.O.P.;(312) 4461020;(312) 4465700;info@celiklerholding.com.tr;06700
293;-;Crown Bevcan Türkiye Ambalaj San. ve Tic. Ltd. Şti.;2023;5.104.703.616;282;6.742.455.051;257;246;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;-;100,00;-;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25;Metal Eşya Sanayi;381;www.crowncork.com.tr;Kocaeli;Kartepe;Çepni Mah. Çepni Cad. No.332 Suadiye;(262) 2810075;-;info@eur.crowncork.com.tr;41170
294;323;Leoni Kablo ve Teknolojileri San. ve Tic. Ltd. Şti.;2023;5.096.699.545;283;5.335.089.217;311;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167.068;127;124;176;481;468;Bursa Ticaret ve Sanayi Odası;-;-;100,00;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.leoni.com.tr;Bursa;Nilüfer;Işıktepe OSB Mah. Eflatun Cad. No.6;(224) 2754050;(536) 9204050;lktmuhasebe@leoni.com.tr;16215
295;295;Sampa Otomotiv San. ve Tic. A.Ş.;2023;5.083.450.759;284;6.945.888.879;244;233;2.000.284.857;186;177;5.014.118.903;189;179;12.163.784.712;153;145;142.178.204;341;331;1.224.049.634;219;213;216.360;99;96;3.594;53;48;Samsun Ticaret ve Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.sampa.com;Samsun;Tekkeköy;Şabanoğlu OSB Mah. Organize Sanayi Bulvarı No.31;(362) 2667792;(362) 2664035;muhasebe@sampa.com;55300
296;-;-;2023;-;285;-;310;299;-;357;345;-;220;207;-;134;127;-;480;468;-;247;240;-;180;177;-;210;199;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;-;-;-;-;-;-;-;-
297;284;Pamukkale Kablo San. ve Tic. A.Ş.;2023;5.068.094.185;286;5.095.056.948;328;317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183.738;113;110;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.pamukkalekablo.com.tr;Denizli;Merkezefendi;Hacıeyüplü Mah. Menderes Bulvarı No.5;(258) 3712610;-;info@pk.com.tr;20050
298;277;CMS Jant Sanayi A.Ş.;2023;5.050.196.130;287;6.375.318.812;270;259;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.cmsjant.com.tr;İzmir;Gaziemir;Erkut Sok. No.11 Ege Serbest Bölgesi;(232) 3990900;(232) 3990900;sbmuhasebe@cms.com.tr;35410
299;-;Farplas Otomotiv A.Ş.;2023;5.049.368.233;288;5.188.282.711;320;309;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.818;123;113;Kocaeli Sanayi Odası;-;100,00;-;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.farplas.com;Kocaeli;Çayırova;TOSB Otomotiv (OSB) Mah. 3. Cad. No.11 /2;(262) 6796500;-;kurumsaliletisim@farplas.com;41420
300;338;Omnia Nişasta San. ve Tic. A.Ş.;2023;5.011.463.667;289;6.004.966.074;284;273;-;-;-;-;-;-;9.256.090.019;202;193;-;-;-;-;-;-;80.650;245;241;-;-;-;Adana Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.omnianisasta.com.tr;Adana;Sarıçam;Hacı Sabancı Organize Sanayi Bölgesi Yunus Emre Cad. No.8;(322) 3223737;-;muhasebe@omnianisasta.com.tr;01350
301;347;Armada Gıda Tic. San. A.Ş.;2023;4.983.551.583;290;5.004.657.736;332;321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mersin Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.armadafoods.com;Mersin;Akdeniz;Toroslar Mah. Atatürk-8 Bulvarı No.91/1;(324) 2380729;-;muhasebe@armadafoods.com;33100
302;429;Sanmar Denizcilik Makina ve Ticaret A.Ş.;2023;4.982.675.225;291;6.019.257.991;283;272;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İMEAK Deniz Ticaret Odası;-;100,00;-;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.sanmar.com.tr;İstanbul;Tuzla;Aydıntepe Mah. Güzin Sok. No.31;(216) 4585900;-;accounting@sanmar.com.tr;34947
303;256;Tukaş Gıda San. ve Tic. A.Ş.;2023;4.976.725.613;292;5.316.652.862;312;301;1.538.290.348;241;230;5.422.432.679;172;163;7.617.166.956;245;235;1.403.034.487;116;110;1.501.908.737;176;171;30.037;355;350;1.066;225;213;Ege Bölgesi Sanayi Odası;-;62,18;-;37,82;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tukas.com.tr;İzmir;Torbalı;Çaybaşı Mah. Aydın Cad. No.51;(232) 8651555;(232) 8651555;info@tukas.com.tr;35880
304;201;Mutlu Akü ve Malzemeleri Sanayii A.Ş.;2023;4.951.158.866;293;5.148.140.426;322;311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.113;215;203;İstanbul Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.mutlu.com.tr;İstanbul;Tuzla;Tepeören Mah. Eski Ankara Asfaltı Cad. No.210;(216) 5816200;-;muhasebegib@mutlu.com.tr;34959
305;322;Panagro Tarım Hayvancılık Gıda San. ve Tic. A.Ş.;2023;4.933.748.895;294;5.751.717.982;298;287;-;-;-;-;-;-;5.862.990.261;297;285;-;-;-;-;-;-;-;-;-;837;276;263;Konya Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.panagro.com.tr;Konya;Meram;Melikşah Mah. Beyşehir Cad. Rektörlük Binası No.7/2;(332) 2242424;-;info@panagro.com.tr;42080
306;330;Teknopanel Çatı ve Cephe Panelleri Üretim San. ve Tic. A.Ş.;2023;4.925.832.904;295;4.985.562.657;334;323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mersin Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.teknopanel.com.tr;Mersin;Akdeniz;Nacarlı Organize Sanayi Bölgesi 7. Cad. No.10;(324) 6764747;(324) 6764749;info@teknopanel.com.tr;33270
307;311;As Çimento San. ve Tic. A.Ş.;2023;4.925.635.145;296;4.953.012.829;336;325;-;-;-;5.099.379.840;187;177;6.399.778.581;281;269;-;-;-;-;-;-;47.240;311;306;334;427;414;Bucak Ticaret ve Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.ascimento.com.tr;Burdur;Bucak;Kızılkaya Beldesi Avdan Mah. Maltaşı Mevkii Küme Evler No.1/0;(248) 3313000;-;info@ascimento.com.tr;15300
308;348;Toyota Boshoku Türkiye Otomotiv San. ve Tic. A.Ş.;2023;4.898.752.639;297;5.467.690.149;305;294;-;-;-;1.869.206.517;372;359;2.421.370.223;455;442;-;-;-;-;-;-;611;456;448;971;245;232;Sakarya Ticaret ve Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.toyotaboshokutr.com;Sakarya;Arifiye;Sakarya 1. Organize Sanayi Bölgesi Mah. 5. Cad. No.1;(264) 2952522;(264) 2952579;info@toyota-boshokutr.com;54580
309;283;Yonca Gıda Sanayi İşletmeleri İç ve Dış Ticaret A.Ş.;2023;4.885.804.735;298;5.109.930.647;326;315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166.412;129;126;929;256;243;Manisa Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.yoncagida.com.tr;İzmir;Konak;Alsancak Mah. 1476/1 Sok. No.7;(236) 2332520;(236) 2332521;info@yoncagida.com.tr;45030
310;280;Vitra Karo San. ve Tic. A.Ş.;2023;4.884.341.147;299;6.405.811.308;269;258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Çanak, Çömlek, Çini, Porselen Sanayi;361;www.vitrakaro.com;İstanbul;Tuzla;Şifa Mah. Hükümet Cad. No.5;(216) 5814600;(216) 5814636;karo.vergi@eczacibasi.com.tr;34941
311;208;Zorlu Doğal Elektrik Üretimi A.Ş.;2023;4.856.350.819;300;5.138.282.285;323;312;-1.108.183.578;497;484;28.790.169.571;31;28;49.257.046.937;33;31;-2.898.942.457;487;475;2.913.856.950;89;86;-;-;-;233;467;454;Aydın Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.zorludogalelektrik.com.tr;İstanbul;Şişli;Levent 199 Büyükdere Cad. No.199;(212) 4562300;(212) 4562205;zoren@zorlu.com;34330
312;403;Tosçelik Spiral Boru Üretim Sanayi A.Ş.;2023;4.832.426.486;301;5.249.830.864;316;305;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İskenderun Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.toscelik.com.tr;Hatay;İskenderun;Sarıseki Mah. OSB Necati Özsoy Cad. No.12;(326) 6562890;-;toscelik@toscelik.com.tr;31218
